"Whisky","MetaCritic","STDEV","Reviews","Cost","Class","SuperCluster","Cluster","Country","Type"
"Knob Creek Small Batch 9yo Bourbon","8.60","0.39","23","$$","Bourbon-like","","R2","USA","Bourbon"
"Corner Creek Reserve Bourbon","8.59","0.35","8","$$","Bourbon-like","","R2","USA","Bourbon"
"Jack Daniel's Master Distiller (all series)","8.59","0.18","5","$$","Bourbon-like","","R1","USA","Bourbon"
"Stranahan's Colorado Whiskey","8.59","0.32","14","$$$$","Bourbon-like","","R0","USA","Bourbon"
"Buffalo Trace Bourbon","8.57","0.37","24","$$","Bourbon-like","","R1","USA","Bourbon"
"Ezra Brooks 7yo Old Ezra 101","8.57","0.24","4","$$","Bourbon-like","","R1","USA","Bourbon"
"Jefferson's Reserve Very Old Kentucky Straight Bourbon","8.57","0.37","8","$$$","Bourbon-like","","R3","USA","Bourbon"
"Koval Single Barrel Four Grain","8.57","0.22","5","$$$$","Bourbon-like","","R0","USA","Grain"
"Bulleit Bourbon Barrel Strength","8.56","0.28","9","$$$$","Bourbon-like","","R3","USA","Bourbon"
"Russell's Reserve Small Batch 10yo Bourbon","8.55","0.34","16","$$","Bourbon-like","","R2","USA","Bourbon"
"Stagg Jr (all batches)","8.54","0.41","19","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Barton 1792 Port Finished Bourbon","8.53","0.17","8","$$$","Bourbon-like","","R2","USA","Bourbon"
"FEW Bourbon","8.53","0.40","10","$$$","Bourbon-like","","R3","USA","Bourbon"
"Old Forester Statesman","8.53","0.56","3","$$$","Bourbon-like","","R2","USA","Bourbon"
"Willett Family Estate 9yo Bourbon","8.53","0.36","4","$$$$","Bourbon-like","","R2","USA","Bourbon"
"Ancient Age 10yo Kentucky Straight Bourbon","8.52","0.40","6","$","Bourbon-like","","R2","USA","Bourbon"
"Koval Single Barrel Bourbon","8.52","0.51","8","$$$","Bourbon-like","","R0","USA","Bourbon"
"Parker???s Heritage 9th 8yo Malt Whiskey","8.52","0.50","7","$$$$$","Bourbon-like","","R1","USA","Bourbon"
"Barton 1792 Small Batch Bourbon","8.51","0.42","19","$$","Bourbon-like","","R2","USA","Bourbon"
"Jim Beam 12yo Signature Craft","8.51","0.33","11","$$","Bourbon-like","","R2","USA","Bourbon"
"Smooth Ambler Old Scout 7yo Bourbon","8.51","0.33","12","$$$","Bourbon-like","","R3","USA","Bourbon"
"Four Roses Small Batch Bourbon","8.50","0.40","16","$$","Bourbon-like","","R3","USA","Bourbon"
"Bulleit 10yo","8.49","0.36","16","$$$","Bourbon-like","","R3","USA","Bourbon"
"Jim Beam Distillers Masterpiece PX Sherry Cask Finish","8.49","0.35","6","$$$$$","Bourbon-like","","R2","USA","Bourbon"
"Jack Daniel's Single Barrel","8.48","0.38","17","$$$","Bourbon-like","","R1","USA","Bourbon"
"Jim Beam Bonded","8.47","0.42","11","$$","Bourbon-like","","R2","USA","Bourbon"
"Angel's Envy Bourbon (Port-finished)","8.46","0.43","15","$$$","Bourbon-like","","R2","USA","Bourbon"
"Wild Turkey Forgiven","8.46","0.44","9","$$$","Bourbon-like","","R2","USA","Bourbon"
"Bernheim Original Straight Wheat 7yo Small Batch","8.45","0.52","19","$$","Bourbon-like","","R0","USA","Wheat"
"Michter's Small Batch US*1 Bourbon","8.44","0.33","15","$$$","Bourbon-like","","R1","USA","Bourbon"
"Smooth Ambler Contradiction Bourbon","8.44","0.48","4","$$$$","Bourbon-like","","R2","USA","Bourbon"
"Wild Turkey 101 Bourbon","8.44","0.36","22","$$","Bourbon-like","","R2","USA","Bourbon"
"Michter's Toasted Barrel","8.42","0.14","6","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Jefferson's Ocean","8.40","0.38","7","$$","Bourbon-like","","R3","USA","Bourbon"
"Old Grand-Dad Bourbon 100 BiB","8.40","0.49","11","$$","Bourbon-like","","R3","USA","Bourbon"
"Very Old Barton 6yo BiB","8.4","0.34","5","$$","Bourbon-like","","R2","USA","Bourbon"
"Old Fitzgerald Kentucky Straight Bourbon","8.39","0.50","6","$$","Bourbon-like","","R0","USA","Bourbon"
"Old Forester Signature (100 Proof)","8.39","0.38","10","$$","Bourbon-like","","R2","USA","Bourbon"
"Very Old Barton 6yo","8.39","0.35","8","$","Bourbon-like","","R2","USA","Bourbon"
"Woodford Reserve Distiller's Select","8.39","0.32","22","$$","Bourbon-like","","R2","USA","Bourbon"
"Smooth Ambler Old Scout 10yo Bourbon","8.38","0.55","4","$$$$","Bourbon-like","","R3","USA","Bourbon"
"Stagg Jr (batches 1-2)","8.38","0.38","15","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Basil Hayden???s Kentucky Bourbon","8.37","0.25","17","$$$","Bourbon-like","","R3","USA","Bourbon"
"Bulleit Bourbon","8.37","0.35","24","$$","Bourbon-like","","R3","USA","Bourbon"
"Heaven Hill 6yo BiB","8.37","0.25","8","$","Bourbon-like","","R1","USA","Bourbon"
"W.L. Weller Special Reserve","8.37","0.38","13","$","Bourbon-like","","R0","USA","Bourbon"
"Parker???s Heritage 10th 24yo Kentucky Straight Bourbon","8.36","0.96","7","$$$$$+","Bourbon-like","","R1","USA","Bourbon"
"Yellowstone 2015 Limited Edition","8.35","0.63","4","$$$$$","Bourbon-like","","R3","USA","Bourbon"
"Old Forester 1870 Original Batch","8.34","0.16","3","$$$","Bourbon-like","","R2","USA","Bourbon"
"Larceny Small Batch Bourbon","8.33","0.24","12","$$","Bourbon-like","","R0","USA","Bourbon"
"Balcones Baby Blue","8.32","0.71","11","$$$$","Bourbon-like","","R0","USA","Whiskey"
"Elijah Craig Small Batch (NAS)","8.31","0.23","5","$$","Bourbon-like","","R1","USA","Bourbon"
"Evan Williams Bottled in Bond (White label)","8.31","0.47","12","$","Bourbon-like","","R1","USA","Bourbon"
"Old Forester 1897 BiB","8.31","0.56","6","$$$","Bourbon-like","","R2","USA","Bourbon"
"High West American Prairie","8.30","0.69","7","$$$","Bourbon-like","","R3","USA","Bourbon"
"Michter's Sour Mash","8.28","0.08","3","$$$","Bourbon-like","","R1","USA","Bourbon"
"George Dickel No.12","8.25","0.39","18","$$","Bourbon-like","","R1","USA","Bourbon"
"Jim Beam Black Label","8.24","0.31","16","$","Bourbon-like","","R2","USA","Bourbon"
"Maker's Mark","8.23","0.39","26","$$","Bourbon-like","","R0","USA","Bourbon"
"Bib & Tucker 6yo Bourbon","8.22","0.12","4","$$$","Bourbon-like","","R3","USA","Bourbon"
"Four Roses (Yellow Label)","8.20","0.32","12","$","Bourbon-like","","R3","USA","Bourbon"
"Koval Single Barrel Millet Whiskey","8.20","0.28","6","$$$","Bourbon-like","","R0","USA","Grain"
"Evan Williams (Black Label)","8.19","0.40","16","$","Bourbon-like","","R1","USA","Bourbon"
"Jim Beam Double Oak","8.19","0.44","7","$$","Bourbon-like","","R2","USA","Bourbon"
"Heaven Hill Trybox Series New Make","8.18","0.29","3","$","Bourbon-like","","R1","USA","Bourbon"
"Evan Williams 1783 Small Batch","8.17","0.38","4","$","Bourbon-like","","R1","USA","Bourbon"
"Yellowstone Select","8.16","0.28","5","$$$","Bourbon-like","","R3","USA","Bourbon"
"Blanton's Special Reserve","8.15","0.29","6","$$$","Bourbon-like","","R2","USA","Bourbon"
"Tincup American Whiskey","8.14","0.29","8","$$","Bourbon-like","","R3","USA","Bourbon"
"Old Forester","8.10","0.39","13","$$","Bourbon-like","","R2","USA","Bourbon"
"Wild Turkey 81 Bourbon","8.09","0.48","16","$","Bourbon-like","","R2","USA","Bourbon"
"Jim Beam Devil's Cut","8.08","0.49","17","$","Bourbon-like","","R2","USA","Bourbon"
"Henry McKenna Straight Bourbon","8.07","0.06","3","$","Bourbon-like","","R1","USA","Bourbon"
"Jack Daniel's No. 27 Gold Double Barrelled","8.04","0.18","3","$$$$","Bourbon-like","","R1","USA","Bourbon"
"66 Gilead The Wild Oak","8.01","0.55","6","$$","Bourbon-like","","","Canada","Blend"
"Old Grand-Dad Bourbon (80/86 Proof)","8.01","0.59","12","$$","Bourbon-like","","R3","USA","Bourbon"
"Mellow Corn BiB","7.97","0.45","15","$","Bourbon-like","","R1","USA","Bourbon"
"Jack Daniel's Old No. 7","7.96","0.38","16","$$","Bourbon-like","","R1","USA","Bourbon"
"Old Fitzgerald BiB","7.94","0.43","7","$$$","Bourbon-like","","R0","USA","Bourbon"
"Redemption High Rye Bourbon","7.93","0.47","5","$$","Bourbon-like","","R3","USA","Bourbon"
"Smooth Ambler Old Scout Yearling Bourbon","7.93","1.02","4","$$$","Bourbon-like","","R0","USA","Bourbon"
"Jefferson's Very Small Batch Bourbon","7.92","0.71","8","$$","Bourbon-like","","R3","USA","Bourbon"
"Ezra Brooks Black Label","7.86","1.00","5","$","Bourbon-like","","R1","USA","Bourbon"
"Jack Daniel's Gentleman Jack","7.86","0.36","14","$$","Bourbon-like","","R1","USA","Bourbon"
"Heaven Hill Old Syle Bourbon (white label)","7.85","0.46","5","$","Bourbon-like","","R1","USA","Bourbon"
"Ancient Age Kentucky Straight Bourbon","7.81","0.64","8","$","Bourbon-like","","R2","USA","Bourbon"
"Ezra B 12yo Single Barrel","7.70","0.88","4","$$$","Bourbon-like","","R1","USA","Bourbon"
"Jim Beam Distillers Series","7.69","1.50","4","$$","Bourbon-like","","R2","USA","Bourbon"
"Jim Beam White Label","7.67","0.47","19","$","Bourbon-like","","R2","USA","Bourbon"
"Rebel Yell Kentucky Bourbon","7.47","0.54","12","$","Bourbon-like","","R0","USA","Bourbon"
"Jim Beam Red Stag (Black Cherry)","7.45","0.94","4","$","Bourbon-like","","","USA","Flavoured"
"Virginia Black","7.38","1.02","6","$$","Bourbon-like","","R2","USA","Bourbon"
"Yellowstone Limited Edition (all vintages)","6.19","4.81","4","$$$$$","Bourbon-like","","R3","USA","Bourbon"
